"Video.ID"	"PE.Species"	"Consensus.Species"	"Consensus.Prop"	"Prop.Agreement"	"Consensus.Type"
"TaiEast_22_loc71_20140924_PICT0060"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_22_loc71_20140924_PICT0061"	"hoofed.animal"	"blank"	NA	NA	"Consensus blank"
"TaiEast_22_loc71_20140924_PICT0062"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_22_loc71_20140924_PICT0063"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_22_loc71_20140924_PICT0064"	"hog"	"hog"	1	1	"Consensus reached"
"TaiEast_22_loc71_20140924_PICT0065"	"hoofed.animal"	"hoofed.animal"	0.875	0.875	"Consensus reached"
"TaiEast_22_loc71_20140924_PICT0068"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_22_loc71_20140924_PICT0070"	"hippopotamus"	"hippopotamus"	1	1	"Consensus reached"
"TaiEast_22_loc71_20140924_PICT0071"	"hoofed.animal"	"hoofed.animal"	0.909090909090909	0.909090909090909	"Consensus reached"
"TaiEast_22_loc71_20140924_PICT0072"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_22_loc71_20140924_PICT0073"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_22_loc71_20140924_PICT0074"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_22_loc71_20140924_PICT0076"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_22_loc71_20140924_PICT0077"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_22_loc71_20140924_PICT0079"	"hoofed.animal"	"hoofed.animal"	0.888888888888889	0.888888888888889	"Consensus reached"
"TaiEast_22_loc71_20140924_PICT0080"	"hoofed.animal"	"hoofed.animal"	0.8	0.8	"Consensus reached"
"TaiEast_22_loc71_20140924_PICT0082"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_22_loc71_20140924_PICT0083"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_22_loc71_20140924_PICT0085"	"hoofed.animal"	"hoofed.animal"	0.909090909090909	0.909090909090909	"Consensus reached"
"TaiEast_22_loc71_20140924_PICT0087"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_22_loc71_20140924_PICT0088"	"hoofed.animal"	"hoofed.animal"	0.9	0.9	"Consensus reached"
"TaiEast_22_loc71_20140924_PICT0089"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_22_loc71_20140924_PICT0091"	"hoofed.animal"	"hoofed.animal"	0.666666666666667	0.666666666666667	"Consensus reached"
"TaiEast_22_loc71_20140924_PICT0092"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_22_loc71_20140924_PICT0093"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_22_loc71_20140924_PICT0094"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_22_loc71_20140924_PICT0095"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_22_loc71_20140924_PICT0096"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_22_loc71_20140924_PICT0097"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_22_loc71_20140924_PICT0099"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
