"Video.ID"	"Vernacular.Name"	"Species"	"Umbrella.Duiker.Species"	"Umbrella.Species"	"Number.Individuals"
"TaiEast_19_loc37_20140926_EK000256"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000256"	"Sooty_mangabey"	"other (primate)"	"other (primate)"	"other (primate)"	1
"TaiEast_19_loc37_20140926_EK000258"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	3
"TaiEast_19_loc37_20140926_EK000259"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000261"	"blank"	"blank"	"blank"	"blank"	NA
"TaiEast_19_loc37_20140926_EK000262"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000263"	"Ogilbys_duiker"	"red duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000264"	"Ogilbys_duiker"	"red duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000265"	"Ogilbys_duiker"	"red duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000268"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000270"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000271"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000272"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	2
"TaiEast_19_loc37_20140926_EK000273"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	2
"TaiEast_19_loc37_20140926_EK000274"	"Ogilbys_duiker"	"red duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000276"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000277"	"Ogilbys_duiker"	"red duiker"	"duiker"	"hoofed.animal"	1
