"Video.ID"	"PE.Species"	"Consensus.Species"	"Consensus.Prop"	"Prop.Agreement"	"Consensus.Type"
"TaiEast_55_loc102_20140811_EK000155"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_55_loc102_20140811_EK000158"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_55_loc102_20140811_EK000160"	"red duiker"	"no consensus"	NA	NA	"All nonblank clips are nonconsensus"
"TaiEast_55_loc102_20140811_EK000161"	"small grey duiker"	"small grey duiker"	0.6	0.6	"Consensus reached"
"TaiEast_55_loc102_20140811_EK000162"	"small grey duiker"	"small grey duiker"	0.571428571428571	0.571428571428571	"Consensus reached"
"TaiEast_55_loc102_20140811_EK000164"	"human"	"human"	1	1	"Consensus reached"
"TaiEast_55_loc102_20140811_EK000165"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_55_loc102_20140811_EK000166"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_55_loc102_20140811_EK000171"	"red duiker"	"blank"	NA	NA	"Consensus blank"
"TaiEast_55_loc102_20140811_EK000173"	"red duiker"	"red duiker"	0.875	0.875	"Consensus reached"
"TaiEast_55_loc102_20140811_EK000174"	"red duiker"	"red duiker"	1	1	"Consensus reached"
"TaiEast_55_loc102_20140811_EK000175"	"other (primate)"	"blank"	NA	NA	"Consensus blank"
"TaiEast_55_loc102_20140811_EK000177"	"other (primate)"	"blank"	NA	NA	"Consensus blank"
"TaiEast_55_loc102_20140811_EK000179"	"small grey duiker"	"blank"	NA	NA	"Consensus blank"
"TaiEast_55_loc102_20140811_EK000180"	"red duiker"	"red duiker"	0.583333333333333	0.583333333333333	"Consensus reached"
"TaiEast_55_loc102_20140811_EK000181"	"red duiker"	"red duiker"	1	1	"Consensus reached"
"TaiEast_55_loc102_20140811_EK000182"	"small grey duiker"	"blank"	NA	NA	"Consensus blank"
"TaiEast_55_loc102_20140811_EK000183"	"small grey duiker"	"blank"	NA	NA	"Consensus blank"
"TaiEast_55_loc105_20141006_EK000006"	"red duiker"	"red duiker"	0.666666666666667	0.666666666666667	"Consensus reached"
"TaiEast_55_loc105_20141006_EK000007"	"red duiker"	"red duiker"	0.875	0.875	"Consensus reached"
"TaiEast_55_loc105_20141006_EK000008"	"small grey duiker"	"no consensus"	NA	NA	"All nonblank clips are nonconsensus"
"TaiEast_55_loc105_20141006_EK000009"	"red duiker"	"red duiker"	0.777777777777778	0.777777777777778	"Consensus reached"
"TaiEast_55_loc105_20141006_EK000010"	"small grey duiker"	"small grey duiker"	0.875	0.875	"Consensus reached"
"TaiEast_55_loc105_20141006_EK000014"	"red duiker"	"red duiker"	0.666666666666667	0.666666666666667	"Consensus reached"
"TaiEast_55_loc105_20141006_EK000015"	"small grey duiker"	"small grey duiker"	0.777777777777778	0.777777777777778	"Consensus reached"
"TaiEast_55_loc105_20141006_EK000016"	"small grey duiker"	"red duiker"	0.583333333333333	0.333333333333333	"Consensus reached"
